cityID,name,lat,lon
1182637, Bhimbar, 32.97465, 74.07846
1182665, Bhera, 32.48206, 72.90865
1182815, Bhakkar, 31.62685, 71.06471
1183460, Bannu, 32.98527, 70.60403
1184752, Akora, 34.00337, 72.12561
1185098, Tungi, 23.89154, 90.40232
1185099, Sylhet, 24.89904, 91.87198
1185116, Netrakona, 24.88352, 90.72898
1185117, Narsingdi, 23.92298, 90.71768
1185138, Pirojpur, 22.57965, 89.97521
1185162, Mymensingh, 24.75636, 90.40646
1185186, Comilla, 23.46186, 91.18503
1185188, Rangpur, 25.74664, 89.25166
1185191, Kushtia, 23.9028, 89.11943
1185209, Habiganj, 24.38044, 91.41299
1185224, Feni, 23.0144, 91.3966
1185241, Dhaka, 23.7104, 90.40744
1185293, Narail, 23.15509, 89.49515
119505, Qazvin, 36.26877, 50.0041
1205733, Chittagong, 22.3384, 91.83168
1209562, Bera, 24.07821, 89.63262
1213655, Stabat, 3.73335, 98.45025
1213821, Sigli, 5.3848, 95.9609
1214520, Medan, 3.58333, 98.66667
1215412, Belawan, 3.7755, 98.6832
1215498, Bandar, 2.05, 99.75
1215957, Tirmiz, 37.22417, 67.27833
1216265, Samarqand, 39.65417, 66.95972
1216311, Qarshi, 38.86056, 65.78905
1217180, Kogon, 39.72278, 64.55167
1217362, Juma, 39.71611, 66.66417
1217662, Bukhara, 39.77472, 64.42861
1218420, Seydi, 39.4816, 62.91374
1218667, Mary, 37.59378, 61.83031
1221328, Khorugh, 37.48974, 71.55304
1221714, Hisor, 38.52504, 68.55124
1221874, Dushanbe, 38.53575, 68.77905
1225018, Vavuniya, 8.7514, 80.4971
1226260, Trincomalee, 8.5711, 81.2335
1228730, Ratnapura, 6.68278, 80.39917
1229293, Puttalam, 8.0362, 79.8283
1229989, Point Pedro, 9.81667, 80.23333
1232783, Nuwara Eliya, 6.97078, 80.78286
1233369, Negombo, 7.2083, 79.8358
1235846, Matara, 5.94851, 80.53528
1237980, Kurunegala, 7.4863, 80.3623
1238992, Sri Jayewardenepura Kotte, 6.88297, 79.90708
1241622, Kandy, 7.2955, 80.6356
1241964, Kalutara, 6.5831, 79.9593
1242833, Jaffna, 9.66845, 80.00742
